activity_id,assay_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,compound_name,canonical_smiles,molecular_weight,alogp,pIC50,standardized_smiles,mol_weight,logp,hbd,hba,rotatable_bonds,heavy_atoms,aromatic_rings,tpsa,query_id,cid,iupac_name,isomeric_smiles,molecular_formula,xlogp,hydrogen_bond_donor_count,hydrogen_bond_acceptor_count,rotatable_bond_count,complexity
27653297.0,CHEMBL5733991,CHEMBL6033704,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Cl)c(O[C@@H]4CCOC4)c3)ncc2F)c1,,,6.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Cl)c(O[C@@H]4CCOC4)c3)ncc2F)c1,469.9040000000002,5.048500000000002,3.0,7.0,8.0,33.0,3.0,97.4,,,,,,,,,,
27653300.0,CHEMBL5733991,CHEMBL2216827,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1,,,6.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1,499.5060000000002,4.774300000000002,4.0,8.0,9.0,37.0,4.0,130.16000000000003,,,,,,,,,,
27653303.0,CHEMBL5733991,CHEMBL5939963,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N1CCOc2ccc(Nc3ncc(F)c(Nc4ccc(OCc5ccccn5)c(Cl)c4)n3)cc21,,,6.259637310505756,C=CC(=O)N1CCOc2ccc(Nc3ncc(F)c(Nc4ccc(OCc5ccccn5)c(Cl)c4)n3)cc21,532.9630000000003,5.641700000000004,2.0,8.0,8.0,38.0,4.0,101.5,,,,,,,,,,
27653306.0,CHEMBL5733991,CHEMBL5954631,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3ccc(OCCOC)c(F)c3)ncc2F)C1,,,6.259637310505756,C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3ccc(OCCOC)c(F)c3)ncc2F)C1,433.45900000000023,3.1125000000000016,2.0,7.0,9.0,31.0,2.0,88.61000000000001,,,,,,,,,,
27653309.0,CHEMBL5733991,CHEMBL5762343,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)C1,,,6.259637310505756,C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)C1,415.4690000000002,2.9734000000000007,2.0,7.0,9.0,30.0,2.0,88.61000000000001,,,,,,,,,,
27653312.0,CHEMBL5733991,CHEMBL5895507,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4cccnc4)cc3)ncc2F)c1,,,6.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4cccnc4)cc3)ncc2F)c1,442.4540000000001,5.414700000000003,3.0,7.0,8.0,33.0,4.0,101.06,,,,,,,,,,
27653327.0,CHEMBL5733991,CHEMBL5856597,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1ccc(Nc2nc(Nc3ccc(OCCOC)c(F)c3)ncc2F)cc1,,,6.259637310505756,C=CC(=O)Nc1ccc(Nc2nc(Nc3ccc(OCCOC)c(F)c3)ncc2F)cc1,441.43800000000016,4.391700000000003,3.0,7.0,10.0,32.0,3.0,97.4,,,,,,,,,,
27652664.0,CHEMBL5733991,CHEMBL5758784,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cccc(N(C)c2nc(Nc3ccccc3)ncc2C)c1,,,6.259637310505756,C=CC(=O)Nc1cccc(N(C)c2nc(Nc3ccccc3)ncc2C)c1,359.43300000000005,4.421020000000002,2.0,5.0,6.0,27.0,3.0,70.15,,,,,,,,,,
27653024.0,CHEMBL5733991,CHEMBL5902375,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N1CCCC(Oc2nc(Nc3ccc(OC)cc3)ncc2F)C1,,,6.259637310505756,C=CC(=O)N1CCCC(Oc2nc(Nc3ccc(OC)cc3)ncc2F)C1,372.40000000000015,2.923700000000001,1.0,6.0,6.0,27.0,2.0,76.58000000000001,,,,,,,,,,
27652865.0,CHEMBL5733991,CHEMBL6046464,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cccc(N(C)c2nc(Nc3ccc4c(c3)N(C)CCO4)ncc2F)c1,,,6.259637310505756,C=CC(=O)Nc1cccc(N(C)c2nc(Nc3ccc4c(c3)N(C)CCO4)ncc2F)c1,434.4750000000002,4.080300000000003,2.0,7.0,6.0,32.0,3.0,82.62,,,,,,,,,,
